Block_Size, Speed, loops, Transfer Size
8, 3.28734 Mpbs, 1000000, 30.5176 MB
16, 5.87824 Mpbs, 1000000, 61.0352 MB
32, 9.44534 Mpbs, 1000000, 122.07 MB
64, 13.836 Mpbs, 1000000, 244.141 MB
128, 17.8653 Mpbs, 100000, 48.8281 MB
256, 20.7115 Mpbs, 100000, 97.6562 MB
512, 18.9674 Mpbs, 100000, 195.312 MB
1024, 21.52 Mpbs, 10000, 39.0625 MB
2048, 22.9206 Mpbs, 10000, 78.125 MB
4096, 24.3743 Mpbs, 10000, 156.25 MB
8192, 24.5072 Mpbs, 10000, 312.5 MB
16384, 24.4822 Mpbs, 1000, 62.5 MB
32768, 24.518 Mpbs, 1000, 125 MB
65536, 24.3272 Mpbs, 500, 125 MB
131072, 24.3048 Mpbs, 500, 250 MB
262144, 24.1875 Mpbs, 250, 250 MB
