Block_Size, Speed, loops, Transfer Size
8, 3.28315 Mpbs, 8192000, 250 MB
16, 5.81538 Mpbs, 4096000, 250 MB
32, 9.49223 Mpbs, 2048000, 250 MB
64, 13.9177 Mpbs, 1024000, 250 MB
128, 17.8387 Mpbs, 512000, 250 MB
256, 20.726 Mpbs, 256000, 250 MB
512, 18.9538 Mpbs, 128000, 250 MB
1024, 21.5565 Mpbs, 64000, 250 MB
2048, 22.8961 Mpbs, 32000, 250 MB
4096, 24.3332 Mpbs, 16000, 250 MB
8192, 24.4597 Mpbs, 8000, 250 MB
16384, 24.5064 Mpbs, 4000, 250 MB
32768, 24.5276 Mpbs, 2000, 250 MB
65536, 24.3449 Mpbs, 1000, 250 MB
131072, 24.247 Mpbs, 500, 250 MB
262144, 24.1644 Mpbs, 250, 250 MB
