Block_Size, Speed, loops, Transfer Size
8, 2.36742 Mpbs, 1000000, 30.5176 MB
16, 3.68392 Mpbs, 1000000, 61.0352 MB
32, 5.07308 Mpbs, 1000000, 122.07 MB
64, 0, 1000000, 122.07 MB
128, 7.14966 Mpbs, 100000, 48.8281 MB
256, 6.71899 Mpbs, 100000, 97.6562 MB
512, 7.38497 Mpbs, 100000, 195.312 MB
1024, 7.77211 Mpbs, 10000, 39.0625 MB
2048, 7.89964 Mpbs, 10000, 78.125 MB
4096, 8.00499 Mpbs, 10000, 156.25 MB
8192, 8.05963 Mpbs, 10000, 312.5 MB
16384, 8.07788 Mpbs, 1000, 62.5 MB
32768, 8.08403 Mpbs, 1000, 125 MB
65536, 8.07884 Mpbs, 100, 25 MB
131072, 8.09023 Mpbs, 100, 50 MB
